country,duration,retention,niche,rpm
3,58.9,39.2,3,2.12
1,199.2,17.9,2,33.59
3,139.4,75.4,0,19.64
3,76.8,78.9,3,8.09
1,147.4,17.4,0,32.53
1,183.1,77.1,2,38.89
3,191.7,94.7,3,3.86
2,11.6,16.6,1,2.67
3,78.9,77.1,1,9.55
3,21.4,70.9,3,3.51
3,67.1,47.4,3,1.81
3,33.9,5.8,0,4.52
1,129.4,7.5,3,10.18
3,77.7,85.2,0,7.07
2,45.9,99.0,2,10.08
1,53.2,67.6,0,49.1
2,72.1,44.6,3,3.46
2,52.0,64.8,3,4.81
2,90.6,59.4,2,7.22
2,6.5,38.4,3,1.69
1,56.0,6.6,3,8.17
1,82.2,82.2,1,24.19
2,120.6,37.2,1,26.04
2,54.2,81.9,2,13.29
1,26.6,25.3,0,10.99
1,15.2,0.1,1,2.96
1,188.1,15.9,0,35.02
3,83.3,46.9,3,2.29
3,116.2,94.4,1,12.85
3,183.8,10.2,2,7.58
2,16.5,85.4,2,5.32
3,175.3,52.7,2,5.06
2,110.3,82.6,1,19.54
2,33.0,29.8,0,7.56
3,82.3,84.0,3,3.66
2,155.5,77.3,0,35.08
3,96.1,23.0,0,3.9
3,197.1,13.1,3,3.07
1,75.3,86.8,3,25.52
3,149.9,96.3,1,11.17
1,78.6,3.1,1,6.05
3,165.8,73.1,1,7.89
3,113.8,91.0,1,26.39
1,12.7,85.7,1,12.07
1,7.4,96.5,3,10.57
3,26.8,76.0,0,7.85
2,2.7,44.2,1,3.94
1,15.1,31.2,1,10.48
2,138.3,32.1,0,10.32
2,106.9,72.4,1,10.63
2,150.0,74.6,0,25.63
1,182.6,20.0,0,29.66
2,117.0,86.8,3,7.09
1,145.2,71.5,2,33.04
2,151.4,56.3,3,9.49
3,75.6,47.2,2,7.47
3,48.2,54.3,2,4.14
1,41.0,15.9,2,9.86
3,50.3,20.4,1,4.02
3,54.9,9.1,3,1.36
2,41.4,15.4,2,7.02
1,175.6,45.4,0,39.69
2,151.4,53.0,1,23.03
2,9.4,1.8,3,0.96
2,53.7,79.7,2,11.88
2,4.4,29.4,0,3.26
2,99.6,91.2,3,11.69
2,95.2,96.8,3,5.76
2,166.3,18.5,1,25.15
1,61.6,46.2,3,9.48
3,163.3,0.1,1,12.61
2,193.6,59.8,2,11.39
2,17.7,60.7,1,9.34
2,158.4,24.8,0,37.57
2,118.0,55.8,1,18.5
2,96.0,22.6,0,12.6
2,84.1,16.1,1,14.41
3,156.9,65.2,3,5.57
3,127.9,32.6,2,3.46
2,161.0,59.0,0,22.01
3,180.6,43.3,1,10.41
1,123.5,98.4,1,60.77
2,196.1,15.0,1,34.47
1,121.6,46.5,3,19.55
1,127.3,68.0,3,15.25
2,111.0,39.6,0,28.75
3,18.2,97.5,0,5.55
1,145.3,72.2,3,15.69
2,109.5,65.7,0,27.85
1,90.2,75.7,2,12.75
1,182.1,95.3,2,33.5
1,59.6,90.8,3,18.99
1,104.7,72.4,0,48.45
3,139.5,74.9,1,16.17
1,159.3,14.6,2,8.69
